attribute,mean,max,min
pattern_c112,0.1559444158517756,1.0,0.0
pattern_c46,0.4863612969634586,1.0,0.0
pubchem_f406,0.4863612969634586,1.0,0.0
pubchem_f689,0.7277406073082862,1.0,0.0
ring_of_size5,0.39732372619660317,1.0,0.0
pubchem_f144,0.39732372619660317,1.0,0.0
maccs_k096,0.39732372619660317,1.0,0.0
pubchem_f693,0.4204837879567679,1.0,0.0
pattern_c45,0.4837879567678847,1.0,0.0
pattern_c2,0.09315491507977354,1.0,0.0
pubchem_f189,0.1044776119402985,1.0,0.0
maccs_k074,0.26659804426145134,1.0,0.0
maccs_322_009,0.7112712300566135,1.0,0.0
alpha_beta-unsaturated_system,0.12454966546577458,1.0,0.0
pubchem_f777,0.2233659289758106,1.0,0.0
organoheterocycle,0.5563561502830674,1.0,0.0
maccs_k137,0.5563561502830674,1.0,0.0
sugar_pattern_2_beta,0.0761708697889861,1.0,0.0
pubchem_f710,0.6773031394750386,1.0,0.0
pubchem_f819,0.24601132269686052,1.0,0.0
pattern_c285,0.08749356664951106,1.0,0.0
pubchem_f698,0.48481729284611425,1.0,0.0
spiro_compound,0.05404014410705095,1.0,0.0
maccs_k153,0.5486361296963459,1.0,0.0
het_atom,0.975295934122491,1.0,0.0
maccs_322_002,0.975295934122491,1.0,0.0
pubchem_f151,0.11477097272259393,1.0,0.0
ketone,0.15800308800823468,1.0,0.0
pubchem_f182,0.33247555326814204,1.0,0.0
pubchem_f713,0.3813690169840453,1.0,0.0
pubchem_f362,0.014925373134328358,1.0,0.0
pubchem_f619,0.47606793618116316,1.0,0.0
filter_fused_rings_65_heterocyclic,0.244981986618631,1.0,0.0
carboxyl,0.20226453937210498,1.0,0.0
pubchem_f705,0.3787956767884714,1.0,0.0
pubchem_f692,0.15542974781266083,1.0,0.0
pubchem_f639,0.14616572310859496,1.0,0.0
_15-tautomerizable,0.24961399897066391,1.0,0.0
pattern_c31,0.24961399897066391,1.0,0.0
aliph_carboxylic,0.18528049408131755,1.0,0.0
pubchem_f799,0.2357179619145651,1.0,0.0
oxolane,0.0797735460627895,1.0,0.0
pubchem_f023,0.06690684508492023,1.0,0.0
pattern_c76,0.45856922285126095,1.0,0.0
pattern_c73,0.4750386001029336,1.0,0.0
pubchem_f701,0.20638188368502317,1.0,0.0
pattern_c116,0.06587750900669069,1.0,0.0
pubchem_f471,0.4873906330416881,1.0,0.0
pattern_c71,0.4873906330416881,1.0,0.0
pubchem_f521,0.4873906330416881,1.0,0.0
pubchem_f553,0.4873906330416881,1.0,0.0
maccs_322_063,0.023674729799279464,1.0,0.0
pattern_c77,0.4611425630468348,1.0,0.0
pubchem_f372,0.48841996911991764,1.0,0.0
alpha-amino acid or derivatives,0.0885229027277406,1.0,0.0
fatty acyl,0.2321152856407617,1.0,0.0
maccs_k098,0.3849716932578487,1.0,0.0
heteroring_of_size6,0.3849716932578487,1.0,0.0
pubchem_f338,0.11682964487905301,1.0,0.0
pubchem_f371,0.5007720020586721,1.0,0.0
pubchem_f256,0.534740092640247,1.0,0.0
pubchem_f585,0.48481729284611425,1.0,0.0
pubchem_f678,0.48481729284611425,1.0,0.0
pubchem_f604,0.48481729284611425,1.0,0.0
pubchem_f579,0.48481729284611425,1.0,0.0
maccs_k162,0.5352547606793618,1.0,0.0
aromatic,0.5352547606793618,1.0,0.0
12_disubstituted_alkene,0.1399897066392177,1.0,0.0
pubchem_f385,0.5203293875450334,1.0,0.0
secondary carboxamide,0.12300566134843026,1.0,0.0
pattern_c19,0.12300566134843026,1.0,0.0
pattern_c75,0.5208440555841483,1.0,0.0
maccs_k120,0.34997426659804426,1.0,0.0
pubchem_f635,0.489963973237262,1.0,0.0
pubchem_f669,0.489963973237262,1.0,0.0
pubchem_f703,0.13741636644364386,1.0,0.0
pubchem_f567,0.20483787956767885,1.0,0.0
pattern_c319,0.017498713329902212,1.0,0.0
pubchem_f193,0.30983015954709214,1.0,0.0
pubchem_f606,0.07153885743695317,1.0,0.0
maccs_322_046,0.22388059701492538,1.0,0.0
pubchem_f571,0.4981986618630983,1.0,0.0
pubchem_f196,0.05867215645908389,1.0,0.0
allylic alcohol,0.05867215645908389,1.0,0.0
pubchem_f596,0.4935666495110654,1.0,0.0
pubchem_f609,0.4935666495110654,1.0,0.0
pubchem_f778,0.2691713844570252,1.0,0.0
pubchem_f660,0.18733916623777663,1.0,0.0
pubchem_f711,0.662892434379825,1.0,0.0
pubchem_f356,0.5290787442099846,1.0,0.0
pubchem_f339,0.20432321152856409,1.0,0.0
pubchem_f582,0.15337107565620176,1.0,0.0
pubchem_f643,0.15337107565620176,1.0,0.0
pubchem_f680,0.8286155429747812,1.0,0.0
pubchem_f345,0.9835306227483274,1.0,0.0
