attribute,mean,max,min
pubchem_f598,0.17035512094698918,1.0,0.0
maccs_k155,0.8327328872876995,1.0,0.0
pubchem_f593,0.4518785383427689,1.0,0.0
pattern_c49,0.30519814719505917,1.0,0.0
maccs_k126,0.7102418939783839,1.0,0.0
cn_single_bond,0.48327328872876996,1.0,0.0
maccs_k158,0.48327328872876996,1.0,0.0
pubchem_f364,0.027277406073082863,1.0,0.0
maccs_322_006,0.13175501801338138,1.0,0.0
pattern_c92,0.11116829644879053,1.0,0.0
peptide,0.034482758620689655,1.0,0.0
pattern_c110,0.07462686567164178,1.0,0.0
maccs_k058,0.03654143077714874,1.0,0.0
pattern_c109,0.28152341739577974,1.0,0.0
pubchem_f556,0.1791044776119403,1.0,0.0
pubchem_f336,0.35254760679361813,1.0,0.0
maccs_322_018,0.06227483273288729,1.0,0.0
pubchem_f538,0.11837364899639732,1.0,0.0
pubchem_f463,0.11837364899639732,1.0,0.0
pubchem_f145,0.1291816778178075,1.0,0.0
pattern_c138,0.04477611940298507,1.0,0.0
maccs_322_061,0.7261966031909418,1.0,0.0
pubchem_f260,0.12815234173957799,1.0,0.0
pubchem_f610,0.0159547092125579,1.0,0.0
phenylhalide_para_subs,0.06278950077200206,1.0,0.0
sulfide,0.0602161605764282,1.0,0.0
phenylhalide_ortho_subs,0.05764282038085435,1.0,0.0
pattern_c37,0.514668039114771,1.0,0.0
maccs_k102,0.13175501801338138,1.0,0.0
pubchem_f681,0.6726711271230057,1.0,0.0
maccs_322_065,0.028821410190427176,1.0,0.0
pubchem_f580,0.5208440555841483,1.0,0.0
maccs_k026,0.08080288214101904,1.0,0.0
pattern_c2,0.09315491507977354,1.0,0.0
pubchem_f453,0.36541430777148737,1.0,0.0
pubchem_f189,0.1044776119402985,1.0,0.0
pubchem_f701,0.20638188368502317,1.0,0.0
thiophene,0.016469377251672673,1.0,0.0
pattern_c108,0.07771487390633042,1.0,0.0
pubchem_f378,0.18991250643335048,1.0,0.0
maccs_k124,0.16778178075141534,1.0,0.0
ewg,0.10087493566649511,1.0,0.0
phenolether_ortho_subs,0.0725681935151827,1.0,0.0
pubchem_f541,0.417910447761194,1.0,0.0
maccs_322_127,0.5779722079258878,1.0,0.0
pubchem_f798,0.24549665465774576,1.0,0.0
pattern_c65,0.12866700977869275,1.0,0.0
pubchem_f642,0.37828100874935666,1.0,0.0
pubchem_f392,0.22799794132784354,1.0,0.0
maccs_k085,0.22799794132784354,1.0,0.0
12_disubstituted_alkene,0.1399897066392177,1.0,0.0
pattern_c137,0.05198147195059187,1.0,0.0
pattern_c140,0.019042717447246525,1.0,0.0
pubchem_f531,0.1631497683993824,1.0,0.0
halobenzene,0.06536284096757591,1.0,0.0
maccs_k070,0.03242408646423057,1.0,0.0
co_single_bond,0.7606793618116315,1.0,0.0
maccs_k157,0.7606793618116315,1.0,0.0
pattern_c19,0.12300566134843026,1.0,0.0
secondary carboxamide,0.12300566134843026,1.0,0.0
maccs_k116,0.49562532166752443,1.0,0.0
maccs_k145,0.5316520844055584,1.0,0.0
pattern_c66,0.12712300566134843,1.0,0.0
maccs_k135,0.14925373134328357,1.0,0.0
acetal_like,0.056098816263510036,1.0,0.0
maccs_k075,0.2377766340710242,1.0,0.0
phenol ether,0.07514153371075656,1.0,0.0
maccs_k086,0.1914565105506948,1.0,0.0
pubchem_f039,0.033453422542460115,1.0,0.0
pattern_c285,0.08749356664951106,1.0,0.0
phenolether_para_subs,0.07565620174987134,1.0,0.0
ester_deriv,0.1559444158517756,1.0,0.0
alkylarylthioether,0.010293360782295419,1.0,0.0
pubchem_f822,0.10190427174472465,1.0,0.0
maccs_k109,0.3262995367987648,1.0,0.0
alpha_beta-unsaturated_system,0.12454966546577458,1.0,0.0
pattern_c139,0.03654143077714874,1.0,0.0
pattern_c64,0.16778178075141534,1.0,0.0
thiophosphoric_acid_ester,0.003088008234688626,1.0,0.0
phenothiazine,0.005661348430262481,1.0,0.0
maccs_k165,0.8311888831703551,1.0,0.0
cyclic,0.8311888831703551,1.0,0.0
pattern_c288,0.007205352547606794,1.0,0.0
diarylthioether,0.007205352547606794,1.0,0.0
pubchem_f514,0.020586721564590838,1.0,0.0
pubchem_f386,0.11837364899639732,1.0,0.0
pubchem_f186,0.5265054040144107,1.0,0.0
pattern_c114,0.029850746268656716,1.0,0.0
carboxylic ester,0.10705095213587236,1.0,0.0
pattern_c29,0.14822439526505404,1.0,0.0
r5_1ht_aro,0.06896551724137931,1.0,0.0
dialkylether,0.07874420998455996,1.0,0.0
ketone,0.15800308800823468,1.0,0.0
primary_amino_azaheterocycle,0.025218733916623777,1.0,0.0
pattern_c101,0.24909933093154915,1.0,0.0
pattern_c261,0.01080802882141019,1.0,0.0
pubchem_f567,0.20483787956767885,1.0,0.0
pubchem_f185,0.07205352547606794,1.0,0.0
pubchem_f539,0.19557385486361298,1.0,0.0
maccs_322_258,0.17601646937725168,1.0,0.0
pubchem_f184,0.04529078744209985,1.0,0.0
pubchem_f606,0.07153885743695317,1.0,0.0
pubchem_f196,0.05867215645908389,1.0,0.0
pubchem_f187,0.33093154915079775,1.0,0.0
pattern_c118,0.03602676273803397,1.0,0.0
pubchem_f210,0.024189397838394237,1.0,0.0
pubchem_f353,0.8548636129696345,1.0,0.0
pubchem_f443,0.2002058672156459,1.0,0.0
pubchem_f540,0.15182707153885744,1.0,0.0
pattern_c99,0.2444673185795162,1.0,0.0
organophosphate,0.023674729799279464,1.0,0.0
pattern_c289,0.004632012352032939,1.0,0.0
maccs_k100,0.276376737004632,1.0,0.0
pattern_c325,0.0195573854863613,1.0,0.0
maccs_322_091,0.006176016469377252,1.0,0.0
pattern_c103,0.2527020072053526,1.0,0.0
isobutyl,0.034482758620689655,1.0,0.0
pubchem_f341,0.3993823983530623,1.0,0.0
pattern_c94,0.05198147195059187,1.0,0.0
purine,0.022645393721049924,1.0,0.0
pubchem_f722,0.02676273803396809,1.0,0.0
maccs_322_045,0.06330416881111683,1.0,0.0
pubchem_f016,0.3278435409161091,1.0,0.0
maccs_k142,0.3278435409161091,1.0,0.0
pubchem_f524,0.17035512094698918,1.0,0.0
pubchem_f472,0.02007205352547607,1.0,0.0
2-N-linked ribose deriv.,0.02213072568193515,1.0,0.0
pubchem_f366,0.4534225424601132,1.0,0.0
_13-tautomerizable,0.613484302624807,1.0,0.0
pattern_c38,0.613484302624807,1.0,0.0
pubchem_f711,0.662892434379825,1.0,0.0
pubchem_f302,0.03962943901183737,1.0,0.0
maccs_k071,0.03962943901183737,1.0,0.0
pattern_c10,0.14204837879567678,1.0,0.0
pattern_c105,0.2552753474009264,1.0,0.0
pubchem_f785,0.027277406073082863,1.0,0.0
pyridine,0.027277406073082863,1.0,0.0
pubchem_f190,0.02161605764282038,1.0,0.0
pubchem_f714,0.050437467833247554,1.0,0.0
benzo-14-diazepine,0.003602676273803397,1.0,0.0
pubchem_f479,0.003602676273803397,1.0,0.0
pattern_c149,0.003602676273803397,1.0,0.0
maccs_k077,0.14616572310859496,1.0,0.0
pubchem_f685,0.48327328872876996,1.0,0.0
pattern_c247,0.025218733916623777,1.0,0.0
pattern_c62,0.17961914565105508,1.0,0.0
pattern_c277,0.04734945959855893,1.0,0.0
pubchem_f359,0.18322182192485847,1.0,0.0
pubchem_f151,0.11477097272259393,1.0,0.0
aza_aromatic,0.19042717447246527,1.0,0.0
maccs_k065,0.19042717447246527,1.0,0.0
pubchem_f032,0.02007205352547607,1.0,0.0
pattern_c120,0.04632012352032939,1.0,0.0
pubchem_f621,0.1291816778178075,1.0,0.0
pubchem_f633,0.1291816778178075,1.0,0.0
maccs_k062,0.15800308800823468,1.0,0.0
pubchem_f483,0.16778178075141534,1.0,0.0
pattern_c60,0.16778178075141534,1.0,0.0
pubchem_f388,0.17447246525990737,1.0,0.0
pattern_c63,0.15491507977354607,1.0,0.0
pubchem_f376,0.14204837879567678,1.0,0.0
pubchem_f424,0.03088008234688626,1.0,0.0
pubchem_f790,0.0025733401955738548,1.0,0.0
pubchem_f727,0.0025733401955738548,1.0,0.0
sulfonylurea,0.0025733401955738548,1.0,0.0
maccs_k066,0.4251158003088008,1.0,0.0
pattern_c308,0.019042717447246525,1.0,0.0
pubchem_f481,0.023674729799279464,1.0,0.0
pubchem_f768,0.008749356664951106,1.0,0.0
pubchem_f831,0.008749356664951106,1.0,0.0
pattern_c35,0.35203293875450337,1.0,0.0
pattern_c85,0.35203293875450337,1.0,0.0
pubchem_f756,0.08080288214101904,1.0,0.0
filter_bridged_rings_55_heterocyclic,0.0195573854863613,1.0,0.0
pattern_c61,0.1755018013381369,1.0,0.0
pubchem_f710,0.6773031394750386,1.0,0.0
carboxyl,0.20226453937210498,1.0,0.0
maccs_322_060,0.4189397838394236,1.0,0.0
pubchem_f821,0.01080802882141019,1.0,0.0
pubchem_f758,0.01080802882141019,1.0,0.0
tertiary aliph amine,0.1116829644879053,1.0,0.0
maccs_322_007,0.6685537828100875,1.0,0.0
maccs_322_031,0.012866700977869275,1.0,0.0
pattern_c324,0.03654143077714874,1.0,0.0
pubchem_f200,0.14153371075656201,1.0,0.0
pattern_c100,0.23005661348430262,1.0,0.0
pattern_c97,0.23005661348430262,1.0,0.0
pubchem_f220,0.0195573854863613,1.0,0.0
maccs_k154,0.6387030365414308,1.0,0.0
pubchem_f419,0.22027792074112199,1.0,0.0
maccs_k063,0.02676273803396809,1.0,0.0
maccs_322_139,0.02676273803396809,1.0,0.0
maccs_322_137,0.02676273803396809,1.0,0.0
pubchem_f346,0.4204837879567679,1.0,0.0
pubchem_f454,0.2002058672156459,1.0,0.0
pubchem_f426,0.03757076685537828,1.0,0.0
maccs_322_150,0.03757076685537828,1.0,0.0
n_in_aromatic_6_ring,0.09109624292331446,1.0,0.0
maccs_322_029,0.38754503345342256,1.0,0.0
pattern_c84,0.38754503345342256,1.0,0.0
pattern_c145,0.017498713329902212,1.0,0.0
tertiary_heteroaromatic,0.1574884199691199,1.0,0.0
pattern_c87,0.33710756562017496,1.0,0.0
trifluoroalkyl_group,0.005661348430262481,1.0,0.0
pubchem_f457,0.03705609881626351,1.0,0.0
pubchem_f721,0.004117344312918168,1.0,0.0
vinylogous-halide,0.004117344312918168,1.0,0.0
pubchem_f670,0.004117344312918168,1.0,0.0
pubchem_f784,0.004117344312918168,1.0,0.0
phosphate monoester,0.018013381369016986,1.0,0.0
